iyear,Taliban,Al-Shabaab,Islamic State of Iraq and the Levant (ISIL),Communist Party of India - Maoist (CPI-Maoist),Boko Haram,sum,total,other
2000,0,0,0,0,0,0,4443,4443
2001,153,0,0,0,0,153,4806,4653
2002,5,0,0,0,0,5,4562,4557
2003,83,0,0,0,0,83,3076,2993
2004,209,0,0,0,0,209,5334,5125
2005,297,0,0,45,0,342,6027,5685
2006,421,0,0,103,0,524,8161,7637
2007,722,135,0,27,0,884,12258.67,11374.67
2008,725,112,0,163,0,1000,8934,7934
2009,677,240,0,492,304,1713,9077,7364
2010,635,206,0,722,72,1635,7674,6039
2011,797,264,0,329,327,1717,8204,6487
2012,2496,707,0,25,1251,4479,15476,10997
2013,2753,744,1456.33,87,1728.6,6768.93,22245,15476.07
2014,4130.34,1782,9324,71,7112,22419.34,43547,21127.66
