alternative_txt,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,city,claim2,claim3,claimed,claimmode2,claimmode2_txt,claimmode3,claimmode3_txt,claimmode,claimmode_txt,compclaim,corp1,corp2,corp3,country,country_txt,eventid,gname2,gname3,gname,gsubname2,gsubname3,gsubname,guncertain1,guncertain2,guncertain3,iday,imonth,iyear,latitude,location,longitude,motive,multiple,natlty1,natlty1_txt,natlty2,natlty2_txt,natlty3,natlty3_txt,nkill,nkillter,nkillus,nperpcap,nperps,nwound,nwoundte,nwoundus,propcomment,property,propextent,propextent_txt,propvalue,provstate,region,region_txt,related,success,suicide,summary,target1,target2,target3,targsubtype1,targsubtype1_txt,targsubtype2,targsubtype2_txt,targsubtype3,targsubtype3_txt,targtype1,targtype1_txt,targtype2,targtype2_txt,targtype3,targtype3_txt
,3,Bombing/Explosion,,,,,Pontorson,,,0,,,,,,,,French Tax Office,,,69,France,200001130003,,,Unknown,,,,0,,,13,1,2000,48.5538,,-1.51,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The windows of the tax office and surrounding buildings were shattered,1,3,Minor (likely < $1 million),,La Manche (Department),8,Western Europe,,1,0,"01/13/2000: The Pontorson tax office in La Manche department, France, was damaged when an explosive device went off outside the office’s door. The office and neighboring houses were damaged when the windows shattered. The perpetrators of this attack were unknown.",Pontorson tax office,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Argentre-du-Plessis,,,0,,,,,,,,French Tax Office,,,69,France,200003110001,,,Breton Liberation Front (FLB),,,Breton Revolutionary Army (armed wing),1,,,11,3,2000,48.057315,,-1.148312,Unknown,0,69,France,,,,,0,0,0,,,0,0,0,Extensive damage to the office building,1,2,Major (likely > $1 million but < $1 billion),,Brittany (Department),8,Western Europe,,1,0,"03/11/2000: An explosion caused extensive damage at a tax office in Argentre-du-Plessis (Ille-et-Vilaine), France. An explosive charge consisting of dynamite partially destroyed the ground floor and first floor of the building.",Argentre-du-Plessis Tax Office in France,,,21,Government Building/Facility/Office,,,,,2,Government (General),,,,
,3,Bombing/Explosion,,,,,Dury,,,1,,,,,2,Call (post-incident),-9,Total,,,69,France,200004010003,,,Unknown,,,,0,,,1,4,2000,49.846226,,2.268329,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,,0,,,,Somme (Department),8,Western Europe,,1,0,"04/01/2000: A Molotov cocktail was thrown at the Total gas station in Dury, France, causing no damage. An anonymous caller claimed responsibility, and claimed to represent ‘an armed group for the protection of the environment,' however a specific group was not identified.","Total gas station in Dury, France",,,1,Gas/Oil,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Lecumberry,,,1,,,,,1,Letter,-9,French Police,,,69,France,200004150004,,,Iparretarrak (IK),,,,0,,,15,4,2000,43.13453,,-1.142615,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The police station was badly damaged.,1,3,Minor (likely < $1 million),,Pyrénées-Atlantiques (Department),8,Western Europe,,1,0,"04/15/2000: A bomb attack badly damaged a former police station in Lecumberry, France. The device was a gas cylinder bomb weighing about 13kg. The Basque group Iparretarrak (IK) claimed responsibility through a statement sent to the Agence France Presse.","Former police station in Lecumberry, France",,,22,"Police Building (headquarters, station, school)",,,,,3,Police,,,,
,3,Bombing/Explosion,,,,,Bonifacio,,,0,,,,,,,,Discotheque “Amnesia”,,,69,France,200004150006,,,Unknown,,,,0,,,15,4,2000,41.387174,,9.159269,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The club sustained major damage.,1,2,Major (likely > $1 million but < $1 billion),,Corsica,8,Western Europe,,1,0,"04/15/2000: The discotheque “Amnesia” in Bonifacio, France, was the target of a bomb attack. The attack caused major damage to the building, but no one was injured. No one claimed responsibility for the attack.","Discotheque “Amnesia” in Bonifacio, Corsica",,,11,Entertainment/Cultural/Stadium/Casino,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Quevert,,,0,,,,,,,,McDonald's,,,69,France,200004190001,,,Breton Liberation Front (FLB),,,Breton Revolutionary Army (armed wing),0,,,19,4,2000,48.465906,,-2.085787,Unknown,0,217,United States,,,,,1,0,0,0,,0,0,0,Major damage to the roof and drive-in area of the restaurant.,1,2,Major (likely > $1 million but < $1 billion),,Brittany (Department),8,Western Europe,,1,0,"04/19/2000: A bomb exploded at a McDonald’s fast food restaurant in Quevert, Brittany, France. One person was killed, and caused major damage to the building. Police have linked the bombing to the Breton Revolutionary Army (ARB).","McDonald’s  restaurant in Brittany, France",,,4,Multinational Corporation,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Sagone,,,0,,,,,,,,Credit Agricole Bank,,,69,France,200004210003,,,Unknown,,,,0,,,21,4,2000,42.113828,,8.701548,Unknown,0,69,France,,,,,0,0,0,0,,0,0,0,The bank was severely a damaged by the bomb blast.,1,2,Major (likely > $1 million but < $1 billion),,Corsica,8,Western Europe,,1,0,"04/21/2000: The Credit Agricole bank in Sagone, France, was the target of a explosive charge connected to a gas cylinder. The building was badly damaged, but no one was injured, as the attack occurred at night.","Credit Agricole Bank in Sagone, Corsica",,,3,Bank/Commerce,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Paris,,,-9,,,,,,,-9,French Cabaret,,,69,France,200005030005,,,Unknown,,,,0,,,3,5,2000,48.856614,,2.352222,Unknown,1,69,France,,,,,0,0,0,,,0,0,0,There was damage to the exterior of the cabaret.,1,3,Minor (likely < $1 million),,Paris (Department),8,Western Europe,"200005030006, 200005030007",1,0,"05/03/2000: On the morning of May 3, 2000 a bomb was set off in Paris, France. The Crazy Horse cabaret was the target. There was property damage but no injuries. It is unknown who was responsible for this act. It was linked to two other casino bombings that night: one in Juan-les-Pins and the other in Carry-le-Roulet.",Crazy Horse Cabaret,,,11,Entertainment/Cultural/Stadium/Casino,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Juan-les-Pins,,,-9,,,,,,,-9,Unknown,,,69,France,200005030006,,,Unknown,,,,0,,,3,5,2000,43.569246,,7.10836,Unknown,1,69,France,,,,,0,0,0,,,0,0,0,There was damage to the exterior of the casino,1,3,Minor (likely < $1 million),,Alpes-Maritimes (Department),8,Western Europe,"200005030005, 200005030007",1,0,"05/03/2000: On the morning of May 3, 2000 a bomb was set off in Juan-les-Pins, France. An unnamed casino was the target. There was property damage but no injuries. It is unknown who was responsible for this act. It was linked to two other bombings that night: a cabaret in Paris and another casino in Carry-le-Roulet.",French Casino,,,11,Entertainment/Cultural/Stadium/Casino,,,,,1,Business,,,,
,3,Bombing/Explosion,,,,,Carry-le-Rouet,,,-9,,,,,,,-9,Unknown,,,69,France,200005030007,,,Unknown,,,,0,,,3,5,2000,43.330673,,5.151576,Unknown,1,69,France,,,,,0,0,0,,,0,0,0,There was damage to the exterior of the casino,1,3,Minor (likely < $1 million),,Bouches-du-Rhône (Department),8,Western Europe,"200005030005, 200005030006",1,0,"05/03/2000: On the morning of May 3, 2000 a bomb was set off in Carry-le-Roulet, France. An unnamed casino was the target. There was property damage but no injuries. It is unknown who was responsible for this act. It was linked to two other bombings that night: a cabaret in Paris and another casino in Juan-les-Pins.",French Casino,,,11,Entertainment/Cultural/Stadium/Casino,,,,,1,Business,,,,
