eventid,iyear,latitude,longitude,gname
201502170099,2014,34.471914,72.550371,Unknown
201501310001,2014,6.946661,124.880331,Bangsamoro Islamic Freedom Movement (BIFM)
201501270001,2014,33.566561,69.878354,Taliban
201412310105,2014,36.783442,3.060099,Unknown
201412310104,2014,14.758611,49.606389,Al-Qa`ida in the Arabian Peninsula (AQAP)
201412310103,2014,14.758611,49.606389,Al-Qa`ida in the Arabian Peninsula (AQAP)
201412310101,2014,31.44415,35.090105,Israeli Settler
201412310099,2014,52.255039,-7.12308,Unknown
201412310098,2014,54.756746,-6.606092,Unknown
201412310097,2014,33.885767,71.120431,Unknown
201412310096,2014,35.228948,71.341065,Unknown
201412310095,2014,46.971734,32.000598,Unknown
201412310094,2014,3.616733,28.566558,Lord's Resistance Army (LRA)
201412310093,2014,36.896969,65.665857,Taliban
201412310091,2014,11.175928,13.582191,Boko Haram
201412310090,2014,20.257353,.99103,Ansar al-Dine (Mali)
201412310089,2014,9.488018,9.044495,Fulani Militants
201412310088,2014,10.276161,11.169953,Unknown
201412310087,2014,11.347818,11.290034,Boko Haram
201412310080,2014,30.36661,68.600153,Unknown
201412310078,2014,30.181286,66.996036,Unknown
201412310073,2014,35.777347,43.287095,Islamic State of Iraq and the Levant (ISIL)
201412310072,2014,36.374167,42.45,Islamic State of Iraq and the Levant (ISIL)
201412310071,2014,33.664172,44.373648,Unknown
201412310070,2014,33.325891,44.420145,Unknown
201412310069,2014,33.325891,44.420145,Unknown
201412310068,2014,33.325891,44.420145,Unknown
201412310067,2014,33.41735,43.623861,Islamic State of Iraq and the Levant (ISIL)
201412310066,2014,24.182749,94.151376,People's Liberation Army (India)
201412310064,2014,29.848815,31.334273,Unknown
201412310062,2014,33.549861,68.41628,Taliban
201412310061,2014,32.626454,65.873015,Unknown
201412310060,2014,34.418031,70.305702,Taliban
201412310059,2014,34.289704,70.770203,Taliban
201412310058,2014,32.945265,69.174729,Haqqani Network
201412310057,2014,33.242176,69.828067,Unknown
201412310056,2014,36.229574,42.236244,Islamic State of Iraq and the Levant (ISIL)
201412310048,2014,34.139439,42.378263,Unknown
201412310047,2014,34.139439,42.378263,Unknown
201412310046,2014,33.099945,44.583278,Unknown
201412310045,2014,33.538393,44.259514,Unknown
201412310043,2014,6.769722,47.430833,Al-Shabaab
201412310042,2014,13.967149,44.165426,Unknown
201412310041,2014,14.531382,49.127513,Unknown
201412310040,2014,14.534514,46.835261,Unknown
201412310039,2014,13.696731,44.730767,Southern Mobility Movement (Yemen)
201412310037,2014,13.967151,44.165426,Al-Qa`ida in the Arabian Peninsula (AQAP)
201412300076,2014,15.635556,44.323889,Huthis
201412300075,2014,15.635556,44.323889,Huthis
201412300074,2014,15.635556,44.323889,Huthis
201412300073,2014,15.635556,44.323889,Huthis
201412300072,2014,15.635556,44.323889,Huthis
201412300071,2014,15.635556,44.323889,Huthis
201412300070,2014,15.635556,44.323889,Huthis
201412300059,2014,3.11891,43.65158,Al-Shabaab
201412300058,2014,34.000359,71.368831,Unknown
201412300057,2014,11.00949,13.898467,Boko Haram
201412300056,2014,18.01717,80.866837,Maoists
201412300054,2014,10.822222,14.477778,Boko Haram
201412300053,2014,11.049849,14.150066,Boko Haram
201412300052,2014,10.865666,12.975619,Boko Haram
201412300051,2014,6.969337,122.248777,Unknown
201412300049,2014,34.425637,72.001301,Unknown
201412300045,2014,36.339965,43.130044,Islamic State of Iraq and the Levant (ISIL)
201412300044,2014,36.339965,43.130044,Islamic State of Iraq and the Levant (ISIL)
201412300042,2014,33.334333,44.420673,Unknown
201412300041,2014,33.332589,44.420731,Unknown
201412300040,2014,33.326284,44.42049,Unknown
201412300039,2014,33.368475,44.363764,Unknown
201412300038,2014,33.3,44.4,Unknown
201412300037,2014,33.3,44.4,Unknown
201412300036,2014,32.903333,67.649722,Taliban
201412300035,2014,33.695975,70.336069,Tehrik-i-Taliban Pakistan (TTP)
201412300034,2014,33.583889,70.537778,Tehrik-i-Taliban Pakistan (TTP)
201412300026,2014,34.007712,68.714007,Taliban
201412300025,2014,6.066398,121.099947,Abu Sayyaf Group (ASG)
201412300024,2014,32.626487,65.450773,Taliban
201412300023,2014,24.994956,67.064589,Unknown
201412300022,2014,-23.319684,-56.488403,Paraguayan People's Army (EPP)
201412300021,2014,34.565494,71.477429,Unknown
201412300020,2014,34.565494,71.477429,Jamaat-ul-Ahrar
201412300018,2014,15.165881,45.733756,Al-Qa`ida in the Arabian Peninsula (AQAP)
201412300017,2014,3.037547,43.799043,Al-Shabaab
201412300014,2014,12.8,45.033333,Unknown
201412300012,2014,30.166059,67.002153,Unknown
201412300009,2014,29.164293,67.849683,United Baloch Army (UBA)
201412300008,2014,28.955469,69.384377,Baloch Republican Army (BRA)
201412300006,2014,30.63129,18.349319,Muslim Fundamentalists
201412300005,2014,32.076111,23.961389,Barqa Province of the Islamic State
201412300001,2014,36.2065,37.160027,Shamiya Front
201412290080,2014,31.210212,34.1193,Sinai Province of the Islamic State
201412290072,2014,15.40505,120.943216,Unknown
201412290069,2014,24.933333,67.033333,Unknown
201412290067,2014,6.863097,124.444716,Unknown
201412290066,2014,34.783249,70.107997,Taliban
201412290065,2014,34.370945,62.330115,Unknown
201412290064,2014,32.704739,67.695944,Taliban
201412290063,2014,36.892028,66.098374,Taliban
201412290062,2014,6.253713,25.473355,Lord's Resistance Army (LRA)
201412290058,2014,31.246279,62.336189,Taliban
